:START_ID(Order),:END_ID(Shipper),:TYPE
99,4,SHIPPED_VIA
98,3,SHIPPED_VIA
93,10,SHIPPED_VIA
92,2,SHIPPED_VIA
91,5,SHIPPED_VIA
90,5,SHIPPED_VIA
88,10,SHIPPED_VIA
85,3,SHIPPED_VIA
79,5,SHIPPED_VIA
76,9,SHIPPED_VIA
75,6,SHIPPED_VIA
74,4,SHIPPED_VIA
71,3,SHIPPED_VIA
67,9,SHIPPED_VIA
66,5,SHIPPED_VIA
58,4,SHIPPED_VIA
57,5,SHIPPED_VIA
53,1,SHIPPED_VIA
52,10,SHIPPED_VIA
47,7,SHIPPED_VIA
46,9,SHIPPED_VIA
43,7,SHIPPED_VIA
38,2,SHIPPED_VIA
28,8,SHIPPED_VIA
22,3,SHIPPED_VIA
17,2,SHIPPED_VIA
16,6,SHIPPED_VIA
13,1,SHIPPED_VIA
12,10,SHIPPED_VIA
11,10,SHIPPED_VIA
6,3,SHIPPED_VIA
5,8,SHIPPED_VIA
2,8,SHIPPED_VIA
100,2,SHIPPED_VIA
97,8,SHIPPED_VIA
96,8,SHIPPED_VIA
89,4,SHIPPED_VIA
84,10,SHIPPED_VIA
80,7,SHIPPED_VIA
78,4,SHIPPED_VIA
77,5,SHIPPED_VIA
68,8,SHIPPED_VIA
65,9,SHIPPED_VIA
63,1,SHIPPED_VIA
62,6,SHIPPED_VIA
61,5,SHIPPED_VIA
59,6,SHIPPED_VIA
56,7,SHIPPED_VIA
48,9,SHIPPED_VIA
44,8,SHIPPED_VIA
40,7,SHIPPED_VIA
36,5,SHIPPED_VIA
35,1,SHIPPED_VIA
32,9,SHIPPED_VIA
31,3,SHIPPED_VIA
30,2,SHIPPED_VIA
27,6,SHIPPED_VIA
25,9,SHIPPED_VIA
24,6,SHIPPED_VIA
20,1,SHIPPED_VIA
19,9,SHIPPED_VIA
15,3,SHIPPED_VIA
9,3,SHIPPED_VIA
4,6,SHIPPED_VIA
1,10,SHIPPED_VIA
95,1,SHIPPED_VIA
94,6,SHIPPED_VIA
87,10,SHIPPED_VIA
86,10,SHIPPED_VIA
83,2,SHIPPED_VIA
82,9,SHIPPED_VIA
81,2,SHIPPED_VIA
73,8,SHIPPED_VIA
72,10,SHIPPED_VIA
70,1,SHIPPED_VIA
69,7,SHIPPED_VIA
64,10,SHIPPED_VIA
60,5,SHIPPED_VIA
55,7,SHIPPED_VIA
54,4,SHIPPED_VIA
51,6,SHIPPED_VIA
50,5,SHIPPED_VIA
49,5,SHIPPED_VIA
45,3,SHIPPED_VIA
42,7,SHIPPED_VIA
41,3,SHIPPED_VIA
39,3,SHIPPED_VIA
37,8,SHIPPED_VIA
34,7,SHIPPED_VIA
33,4,SHIPPED_VIA
29,5,SHIPPED_VIA
26,4,SHIPPED_VIA
23,3,SHIPPED_VIA
21,8,SHIPPED_VIA
18,7,SHIPPED_VIA
14,6,SHIPPED_VIA
10,4,SHIPPED_VIA
8,6,SHIPPED_VIA
7,6,SHIPPED_VIA
3,10,SHIPPED_VIA
